extract_date,specimen_date,number_tested,number_confirmed,number_hospitalized,number_deaths,specimen_date_dt,dt,boro,pct_tested_positive,cumsum_number_tested,cumsum_number_confirmed,cumsum_number_deaths,cumsum_number_hospitalized,cumsum_pct_tested_positive,7-day_rolling_avg_pct_tested_positive,7-day_rolling_avg_number_tested,7-day_rolling_avg_number_confirmed,7-day_rolling_avg_number_hospitalized,7-day_rolling_avg_number_deaths
2020-08-31T00:00:00.000,2020-04-12T00:00:00.000,5756,2863,976,394,2020-04-12,2020-08-31,NYC,0.4973940236275191,214381,126087,14673,40183,0.5881444717582248,0.5539644354864927,8788.857142857143,4868.714285714285,1494.4285714285713,591.2857142857143
2020-08-31T00:00:00.000,2020-04-13T00:00:00.000,6730,3297,1214,445,2020-04-13,2020-08-31,NYC,0.48989598811292717,221111,129384,15118,41397,0.5851540628914889,0.5407976263199232,8185.0,4426.428571428572,1384.857142857143,541.0
2020-08-31T00:00:00.000,2020-04-14T00:00:00.000,9426,4164,1172,393,2020-04-14,2020-08-31,NYC,0.44175684277530236,230537,133548,15511,42569,0.579290959802548,0.5190087650538018,8018.857142857143,4161.857142857143,1295.857142857143,493.14285714285717
2020-08-31T00:00:00.000,2020-04-15T00:00:00.000,9887,3877,989,348,2020-04-15,2020-08-31,NYC,0.3921310812177607,240424,137425,15859,43558,0.571594349981699,0.4912299561049897,7973.571428571428,3916.8571428571427,1187.857142857143,441.0
2020-08-31T00:00:00.000,2020-04-16T00:00:00.000,9554,3546,857,295,2020-04-16,2020-08-31,NYC,0.3711534435838392,249978,140971,16154,44415,0.563933626159102,0.46149322879543836,8017.142857142857,3699.8571428571427,1095.7142857142858,399.57142857142856
2020-08-31T00:00:00.000,2020-04-17T00:00:00.000,10201,3570,826,287,2020-04-17,2020-08-31,NYC,0.34996568963827074,260179,144541,16441,45241,0.5555444520887542,0.4274015694185629,8356.142857142857,3571.4285714285716,1019.5714285714286,365.85714285714283
2020-08-31T00:00:00.000,2020-04-18T00:00:00.000,6564,2202,598,188,2020-04-18,2020-08-31,NYC,0.33546617915904936,266743,146743,16629,45839,0.5501287756379736,0.40467669224680825,8302.57142857143,3359.8571428571427,947.4285714285714,335.7142857142857
2020-08-31T00:00:00.000,2020-04-19T00:00:00.000,6728,2341,555,175,2020-04-19,2020-08-31,NYC,0.34794887039239003,273471,149084,16804,46394,0.5451546964760432,0.3891859874767304,8441.42857142857,3285.285714285714,887.2857142857143,304.42857142857144
2020-08-31T00:00:00.000,2020-04-20T00:00:00.000,11448,3794,712,242,2020-04-20,2020-08-31,NYC,0.3314116002795248,284919,152878,17046,47106,0.5365665329444509,0.3681983450351053,9115.42857142857,3356.285714285714,815.5714285714286,275.42857142857144
2020-08-31T00:00:00.000,2020-04-21T00:00:00.000,9763,3075,627,234,2020-04-21,2020-08-31,NYC,0.31496466250128036,294682,155953,17280,47733,0.5292247236003557,0.3492867721568322,9163.57142857143,3200.714285714286,737.7142857142857,252.71428571428572
2020-08-31T00:00:00.000,2020-04-22T00:00:00.000,11369,3478,584,184,2020-04-22,2020-08-31,NYC,0.3059196059459935,306051,159431,17464,48317,0.5209295182829006,0.33531930455452785,9375.285714285714,3143.714285714286,679.8571428571429,229.28571428571428
2020-08-31T00:00:00.000,2020-04-23T00:00:00.000,10005,2826,496,163,2020-04-23,2020-08-31,NYC,0.28245877061469266,316056,162257,17627,48813,0.5133805401574405,0.3221344471684978,9439.714285714286,3040.8571428571427,628.2857142857143,210.42857142857142
2020-08-31T00:00:00.000,2020-04-24T00:00:00.000,9587,2533,511,173,2020-04-24,2020-08-31,NYC,0.26421195368728484,325643,164790,17800,49324,0.5060449633494348,0.3093150433826225,9352.0,2892.714285714286,583.2857142857143,194.14285714285714
2020-08-31T00:00:00.000,2020-04-25T00:00:00.000,6150,1604,326,86,2020-04-25,2020-08-31,NYC,0.2608130081300813,331793,166394,17886,49650,0.5014994288607656,0.30209069946195233,9292.857142857143,2807.285714285714,544.4285714285714,179.57142857142858
2020-08-31T00:00:00.000,2020-04-26T00:00:00.000,4372,996,301,95,2020-04-26,2020-08-31,NYC,0.22781335773101555,336165,167390,17981,49951,0.49793999970252706,0.29198966408268734,8956.285714285714,2615.1428571428573,508.14285714285717,168.14285714285714
2020-08-31T00:00:00.000,2020-04-27T00:00:00.000,10302,2296,423,114,2020-04-27,2020-08-31,NYC,0.22286934575810521,346467,169686,18095,50374,0.489760929612344,0.2730876714109313,8792.57142857143,2401.1428571428573,466.85714285714283,149.85714285714286
2020-08-31T00:00:00.000,2020-04-28T00:00:00.000,11939,2724,375,117,2020-04-28,2020-08-31,NYC,0.2281598123795963,358406,172410,18212,50749,0.4810466342639353,0.25825434687088067,9103.42857142857,2351.0,430.85714285714283,133.14285714285714
2020-08-31T00:00:00.000,2020-04-29T00:00:00.000,11847,2346,341,97,2020-04-29,2020-08-31,NYC,0.1980248164092175,370253,174756,18309,51090,0.4719907738762414,0.2386997289804056,9171.714285714286,2189.285714285714,396.14285714285717,120.71428571428571
2020-08-31T00:00:00.000,2020-04-30T00:00:00.000,10716,2068,293,104,2020-04-30,2020-08-31,NYC,0.19298245614035087,380969,176824,18413,51383,0.46414275177245395,0.2244080538567005,9273.285714285714,2081.0,367.14285714285717,112.28571428571429
2020-08-31T00:00:00.000,2020-05-01T00:00:00.000,10256,1914,293,79,2020-05-01,2020-08-31,NYC,0.18662246489859594,391225,178738,18492,51676,0.45686753147165954,0.21268030862126802,9368.857142857143,1992.5714285714287,336.0,98.85714285714286
2020-08-31T00:00:00.000,2020-05-02T00:00:00.000,5882,1073,191,50,2020-05-02,2020-08-31,NYC,0.1824209452567154,397107,179811,18542,51867,0.45280239330961175,0.20542303334660256,9330.57142857143,1916.7142857142858,316.7142857142857,93.71428571428571
2020-08-31T00:00:00.000,2020-05-03T00:00:00.000,4604,781,161,40,2020-05-03,2020-08-31,NYC,0.16963509991311904,401711,180592,18582,52028,0.4495570198476019,0.20141579959112685,9363.714285714286,1886.0,296.7142857142857,85.85714285714286
2020-08-31T00:00:00.000,2020-05-04T00:00:00.000,11059,1574,197,70,2020-05-04,2020-08-31,NYC,0.1423275160502758,412770,182166,18652,52225,0.44132567773820774,0.18822677706891092,9471.857142857143,1782.857142857143,264.42857142857144,79.57142857142857
2020-08-31T00:00:00.000,2020-05-05T00:00:00.000,11259,1557,192,62,2020-05-05,2020-08-31,NYC,0.13828936850519585,424029,183723,18714,52417,0.4332793275931599,0.17239382533562927,9374.714285714286,1616.142857142857,238.28571428571428,71.71428571428571
2020-08-31T00:00:00.000,2020-05-06T00:00:00.000,11682,1438,174,57,2020-05-06,2020-08-31,NYC,0.12309536038349597,435711,185161,18771,52591,0.42496287676923467,0.15895688838644628,9351.142857142857,1486.4285714285713,214.42857142857142,66.0
2020-08-31T00:00:00.000,2020-05-07T00:00:00.000,11240,1306,173,49,2020-05-07,2020-08-31,NYC,0.11619217081850534,446951,186467,18820,52764,0.4171978583782115,0.1461459185838562,9426.0,1377.5714285714287,197.28571428571428,58.142857142857146
2020-08-31T00:00:00.000,2020-05-08T00:00:00.000,10324,1120,164,31,2020-05-08,2020-08-31,NYC,0.1084850833010461,457275,187587,18851,52928,0.4102279809742496,0.13397426192278578,9435.714285714286,1264.142857142857,178.85714285714286,51.285714285714285
2020-08-31T00:00:00.000,2020-05-09T00:00:00.000,5338,644,113,29,2020-05-09,2020-08-31,NYC,0.1206444361183964,462613,188231,18880,53041,0.4068865336685307,0.128537843861631,9358.0,1202.857142857143,167.71428571428572,48.285714285714285
2020-08-31T00:00:00.000,2020-05-10T00:00:00.000,4428,454,96,28,2020-05-10,2020-08-31,NYC,0.1025293586269196,467041,188685,18908,53137,0.4040009335368843,0.12387876932496555,9332.857142857143,1156.142857142857,158.42857142857142,46.57142857142857
2020-08-31T00:00:00.000,2020-05-11T00:00:00.000,13574,1273,156,39,2020-05-11,2020-08-31,NYC,0.09378223073522911,480615,189958,18947,53293,0.3952394328100455,0.11485002579408947,9692.142857142857,1113.142857142857,152.57142857142858,42.142857142857146
2020-08-31T00:00:00.000,2020-05-12T00:00:00.000,15041,1317,134,31,2020-05-12,2020-08-31,NYC,0.08756066750880925,495656,191275,18978,53427,0.38590272285617444,0.10543510128862021,10232.42857142857,1078.857142857143,144.28571428571428,37.714285714285715
2020-08-31T00:00:00.000,2020-05-13T00:00:00.000,15214,1422,132,41,2020-05-13,2020-08-31,NYC,0.09346654397265676,510870,192697,19019,53559,0.37719380664356883,0.10026743304195107,10737.0,1076.5714285714287,138.28571428571428,35.42857142857143
2020-08-31T00:00:00.000,2020-05-14T00:00:00.000,14233,1197,110,34,2020-05-14,2020-08-31,NYC,0.08410033021850628,525103,193894,19053,53669,0.3692494615342133,0.09503275667929163,11164.57142857143,1061.0,129.28571428571428,33.285714285714285
2020-08-31T00:00:00.000,2020-05-15T00:00:00.000,11773,917,120,26,2020-05-15,2020-08-31,NYC,0.07789008748832073,536876,194811,19079,53789,0.36286032528926604,0.0907526287358199,11371.57142857143,1032.0,123.0,32.57142857142857
2020-08-31T00:00:00.000,2020-05-16T00:00:00.000,6675,461,64,8,2020-05-16,2020-08-31,NYC,0.06906367041198502,543551,195272,19087,53853,0.35925239765909733,0.08699251278756578,11562.57142857143,1005.8571428571429,116.0,29.571428571428573
2020-08-31T00:00:00.000,2020-05-17T00:00:00.000,6042,347,59,9,2020-05-17,2020-08-31,NYC,0.057431314134392585,549593,195619,19096,53912,0.3559343004732593,0.08399554220370191,11793.142857142857,990.5714285714286,110.71428571428571,26.857142857142858
2020-08-31T00:00:00.000,2020-05-18T00:00:00.000,16437,972,79,19,2020-05-18,2020-08-31,NYC,0.059134878627486766,566030,196591,19115,53991,0.34731551331201527,0.07765614938828075,12202.142857142857,947.5714285714286,99.71428571428571,24.0
2020-08-31T00:00:00.000,2020-05-19T00:00:00.000,16421,1085,105,29,2020-05-19,2020-08-31,NYC,0.06607392972413373,582451,197676,19144,54096,0.33938648916389536,0.07374848781611844,12399.285714285714,914.4285714285714,95.57142857142857,23.714285714285715
2020-08-31T00:00:00.000,2020-05-20T00:00:00.000,19762,1243,87,18,2020-05-20,2020-08-31,NYC,0.06289849205545997,602213,198919,19162,54183,0.3303133608872608,0.06811687814063475,13049.0,888.8571428571429,89.14285714285714,20.428571428571427
2020-08-31T00:00:00.000,2020-05-21T00:00:00.000,19714,1305,89,17,2020-05-21,2020-08-31,NYC,0.06619661154509486,621927,200224,19179,54272,0.32194132108752316,0.06537635297033793,13832.0,904.2857142857143,86.14285714285714,18.0
2020-08-31T00:00:00.000,2020-05-22T00:00:00.000,19917,1254,82,16,2020-05-22,2020-08-31,NYC,0.06296128935080585,641844,201478,19195,54354,0.31390493640199174,0.06351459492416736,14995.42857142857,952.4285714285714,80.71428571428571,16.571428571428573
2020-08-31T00:00:00.000,2020-05-23T00:00:00.000,9664,546,49,10,2020-05-23,2020-08-31,NYC,0.056498344370860924,651508,202024,19205,54403,0.3100867525801679,0.06254342006539641,15422.42857142857,964.5714285714286,78.57142857142857,16.857142857142858
2020-08-31T00:00:00.000,2020-05-24T00:00:00.000,9701,513,69,8,2020-05-24,2020-08-31,NYC,0.052881146273580044,661209,202537,19213,54472,0.3063131324588746,0.06198036123853211,15945.142857142857,988.2857142857143,80.0,16.714285714285715
2020-08-31T00:00:00.000,2020-05-25T00:00:00.000,9348,492,66,15,2020-05-25,2020-08-31,NYC,0.05263157894736842,670557,203029,19228,54538,0.3027766468771484,0.06159174184660423,14932.42857142857,919.7142857142857,78.14285714285714,16.142857142857142
2020-08-31T00:00:00.000,2020-05-26T00:00:00.000,21144,1068,81,21,2020-05-26,2020-08-31,NYC,0.05051078320090806,691701,204097,19249,54619,0.2950653533824586,0.05877345537757437,15607.142857142857,917.2857142857143,74.71428571428571,15.0
2020-08-31T00:00:00.000,2020-05-27T00:00:00.000,16336,728,66,16,2020-05-27,2020-08-31,NYC,0.044564152791381,708037,204825,19265,54685,0.2892857294180954,0.05580964620501966,15117.714285714286,843.7142857142857,71.71428571428571,14.714285714285714
2020-08-31T00:00:00.000,2020-05-28T00:00:00.000,15402,594,67,8,2020-05-28,2020-08-31,NYC,0.03856641994546163,723439,205419,19273,54752,0.2839479209719133,0.0511762156198282,14501.714285714286,742.1428571428571,68.57142857142857,13.428571428571429
2020-08-31T00:00:00.000,2020-05-29T00:00:00.000,14922,561,54,11,2020-05-29,2020-08-31,NYC,0.037595496582227585,738361,205980,19284,54806,0.27896923049836053,0.04664463255177844,13788.142857142857,643.1428571428571,64.57142857142857,12.714285714285714
2020-08-31T00:00:00.000,2020-05-30T00:00:00.000,8363,337,38,3,2020-05-30,2020-08-31,NYC,0.04029654430228387,746724,206317,19287,54844,0.2762961951135895,0.04508696017476054,13602.285714285714,613.2857142857143,63.0,11.714285714285714
